"Date","Price","Open","High","Low","Vol.","Change %"
"06/21/2023","2.597","2.487","2.602","2.448","125.41K","4.21%"
"06/20/2023","2.492","2.629","2.696","2.484","198.22K","-5.71%"
"06/19/2023","2.643","2.603","2.682","2.568","35.18K","1.58%"
"06/18/2023","2.602","2.622","2.624","2.597","1.31K","-1.14%"
"06/16/2023","2.632","2.552","2.653","2.522","194.54K","3.91%"
"06/15/2023","2.533","2.346","2.568","2.315","260.28K","8.16%"
"06/14/2023","2.342","2.332","2.390","2.294","141.18K","0.09%"
"06/13/2023","2.340","2.284","2.370","2.275","179.76K","3.27%"
"06/12/2023","2.266","2.304","2.324","2.206","174.48K","0.53%"
"06/09/2023","2.254","2.320","2.338","2.250","169.48K","-4.17%"
"06/08/2023","2.352","2.334","2.380","2.277","217.01K","0.99%"
"06/07/2023","2.329","2.264","2.346","2.250","182.39K","2.96%"
"06/06/2023","2.262","2.272","2.291","2.173","147.73K","0.76%"
"06/05/2023","2.245","2.214","2.317","2.184","149.92K","3.36%"
"06/02/2023","2.172","2.163","2.233","2.138","155.17K","0.65%"
"06/01/2023","2.158","2.255","2.283","2.136","210.62K","-4.77%"
"05/31/2023","2.266","2.320","2.410","2.247","151.83K","-2.62%"
"05/30/2023","2.327","2.417","2.448","2.257","183.53K","-0.89%"
"05/29/2023","2.348","2.435","2.448","2.339","23.75K","-3.57%"
"05/28/2023","2.435","2.417","2.441","2.413","0.89K","11.65%"
"05/26/2023","2.181","2.292","2.298","2.143","2.17K","-5.46%"
"05/25/2023","2.307","2.413","2.441","2.258","48.66K","-3.79%"
"05/24/2023","2.398","2.347","2.415","2.317","33.04K","3.32%"
"05/23/2023","2.321","2.400","2.407","2.318","58.74K","-3.29%"
"05/22/2023","2.400","2.568","2.569","2.367","114.48K","-7.16%"
"05/19/2023","2.585","2.615","2.685","2.557","162.13K","-0.27%"
"05/18/2023","2.592","2.380","2.634","2.352","186.29K","9.60%"
"05/17/2023","2.365","2.362","2.435","2.322","139.26K","-0.46%"
"05/16/2023","2.376","2.373","2.470","2.341","135.43K","0.04%"
"05/15/2023","2.375","2.265","2.384","2.250","142.75K","4.81%"
"05/12/2023","2.266","2.191","2.335","2.147","159.35K","3.47%"
"05/11/2023","2.190","2.182","2.255","2.165","119.03K","-0.05%"
"05/10/2023","2.191","2.262","2.265","2.160","126.49K","-3.35%"
"05/09/2023","2.267","2.249","2.297","2.184","134.53K","1.30%"
"05/08/2023","2.238","2.148","2.255","2.140","125.35K","4.73%"
"05/05/2023","2.137","2.086","2.167","2.031","120.69K","1.71%"
"05/04/2023","2.101","2.157","2.189","2.081","113.28K","-3.18%"
"05/03/2023","2.170","2.224","2.241","2.103","130.33K","-1.99%"
"05/02/2023","2.214","2.314","2.345","2.186","127.23K","-4.49%"
"05/01/2023","2.318","2.398","2.410","2.290","108.99K","-3.82%"
"04/28/2023","2.410","2.358","2.529","2.285","176.42K","2.34%"
"04/27/2023","2.355","2.314","2.376","2.268","105.22K","11.24%"
"04/26/2023","2.117","2.239","2.274","2.101","2.41K","-8.24%"
"04/25/2023","2.307","2.262","2.312","2.170","66.13K","1.50%"
"04/24/2023","2.273","2.220","2.286","2.181","56.32K","1.79%"
"04/21/2023","2.233","2.192","2.274","2.164","82.96K","-0.71%"
"04/20/2023","2.249","2.179","2.271","2.140","115.59K","1.22%"
"04/19/2023","2.222","2.373","2.383","2.177","147.57K","-6.09%"
"04/18/2023","2.366","2.290","2.385","2.229","120.61K","4.00%"
"04/17/2023","2.275","2.150","2.314","2.146","191.44K","7.62%"
"04/14/2023","2.114","2.015","2.132","1.946","226.79K","5.33%"
"04/13/2023","2.007","2.084","2.130","1.995","224.38K","-4.11%"
"04/12/2023","2.093","2.221","2.229","2.069","247.32K","-4.25%"
"04/11/2023","2.186","2.182","2.247","2.126","220.67K","0.64%"
"04/10/2023","2.172","2.019","2.223","2.011","256.80K","8.01%"
"04/06/2023","2.011","2.141","2.181","1.992","189.06K","-6.68%"
"04/05/2023","2.155","2.096","2.197","2.065","147.11K","2.33%"
"04/04/2023","2.106","2.114","2.166","2.076","149.12K","0.43%"
"04/03/2023","2.097","2.085","2.160","2.015","173.58K","-5.37%"
"03/31/2023","2.216","2.107","2.241","2.074","164.65K","5.32%"
"03/30/2023","2.104","2.183","2.190","2.080","153.73K","5.68%"
"03/29/2023","1.991","2.024","2.083","1.944","3.49K","-1.92%"
"03/28/2023","2.030","2.089","2.122","1.998","62.60K","-2.78%"
"03/27/2023","2.088","2.130","2.143","2.059","39.81K","-5.78%"
"03/24/2023","2.216","2.153","2.238","2.141","55.64K","2.88%"
"03/23/2023","2.154","2.215","2.261","2.136","87.69K","-0.78%"
"03/22/2023","2.171","2.322","2.326","2.152","121.56K","-7.54%"
"03/21/2023","2.348","2.246","2.358","2.127","138.55K","5.62%"
"03/20/2023","2.223","2.347","2.427","2.211","110.52K","-4.92%"
"03/17/2023","2.338","2.527","2.534","2.327","118.46K","-7.00%"
"03/16/2023","2.514","2.483","2.554","2.429","114.15K","3.08%"
"03/15/2023","2.439","2.577","2.595","2.384","132.20K","-5.21%"
"03/14/2023","2.573","2.624","2.674","2.530","93.92K","-1.27%"
"03/13/2023","2.606","2.426","2.633","2.391","146.57K","7.24%"
"03/10/2023","2.430","2.494","2.562","2.425","127.17K","-4.44%"
"03/09/2023","2.543","2.590","2.644","2.465","138.15K","-0.31%"
"03/08/2023","2.551","2.662","2.694","2.519","132.61K","-5.06%"
"03/07/2023","2.687","2.603","2.698","2.506","149.48K","4.47%"
"03/06/2023","2.572","2.830","2.830","2.532","246.37K","-14.52%"
"03/03/2023","3.009","2.789","3.027","2.772","185.07K","8.82%"
"03/02/2023","2.765","2.811","2.863","2.710","134.24K","-1.64%"
"03/01/2023","2.811","2.769","2.839","2.664","157.12K","2.33%"
"02/28/2023","2.747","2.723","2.788","2.568","160.84K","0.59%"
"02/27/2023","2.731","2.650","2.740","2.554","238.90K","11.42%"
"02/24/2023","2.451","2.345","2.577","2.307","3.25K","5.92%"
"02/23/2023","2.314","2.161","2.377","2.095","57.09K","6.44%"
"02/22/2023","2.174","2.066","2.302","1.967","57.85K","4.87%"
"02/21/2023","2.073","2.225","2.295","2.057","108.51K","-7.41%"
"02/20/2023","2.239","2.218","2.295","2.183","19.16K","0.90%"
"02/19/2023","2.219","2.211","2.220","2.198","1.81K","-2.46%"
"02/17/2023","2.275","2.391","2.420","2.220","134.00K","-4.77%"
"02/16/2023","2.389","2.464","2.559","2.358","141.46K","-3.32%"
"02/15/2023","2.471","2.603","2.607","2.446","147.51K","-3.74%"
"02/14/2023","2.567","2.427","2.623","2.415","169.80K","6.74%"
"02/13/2023","2.405","2.580","2.610","2.376","251.40K","-4.34%"
"02/10/2023","2.514","2.464","2.589","2.410","230.69K","3.46%"
"02/09/2023","2.430","2.411","2.529","2.350","227.98K","1.42%"
"02/08/2023","2.396","2.599","2.657","2.367","204.61K","-7.28%"
"02/07/2023","2.584","2.499","2.615","2.423","228.48K","5.17%"
"02/06/2023","2.457","2.422","2.500","2.365","138.82K","1.95%"
"02/03/2023","2.410","2.457","2.515","2.341","145.39K","-1.87%"
"02/02/2023","2.456","2.504","2.597","2.431","160.78K","-0.49%"
"02/01/2023","2.468","2.730","2.780","2.463","210.66K","-8.05%"
"01/31/2023","2.684","2.685","2.753","2.614","145.54K","0.26%"
"01/30/2023","2.677","2.720","2.773","2.612","167.29K","-13.90%"
"01/27/2023","3.109","2.876","3.176","2.832","3.57K","5.60%"
"01/26/2023","2.944","3.003","3.003","2.761","47.67K","-4.01%"
"01/25/2023","3.067","3.242","3.251","2.992","40.75K","-5.86%"
"01/24/2023","3.258","3.450","3.595","3.224","62.59K","-5.48%"
"01/23/2023","3.447","3.450","3.564","3.243","130.38K","8.60%"
"01/20/2023","3.174","3.203","3.389","3.091","106.74K","-3.08%"
"01/19/2023","3.275","3.293","3.396","3.186","99.67K","-1.09%"
"01/18/2023","3.311","3.628","3.644","3.274","119.85K","-7.67%"
"01/17/2023","3.586","3.557","3.789","3.521","143.31K","-2.53%"
"01/16/2023","3.679","3.601","3.698","3.523","27.47K","2.17%"
"01/15/2023","3.601","3.571","3.616","3.555","1.83K","5.32%"
"01/13/2023","3.419","3.677","3.760","3.384","112.10K","-7.47%"
"01/12/2023","3.695","3.694","3.946","3.607","123.74K","0.65%"
"01/11/2023","3.671","3.575","3.777","3.422","133.20K","0.88%"
"01/10/2023","3.639","3.911","3.911","3.546","112.23K","-6.93%"
"01/09/2023","3.910","3.810","4.128","3.781","130.28K","5.39%"
"01/06/2023","3.710","3.764","3.839","3.520","98.96K","-0.27%"
"01/05/2023","3.720","4.155","4.175","3.651","116.68K","-10.83%"
"01/04/2023","4.172","4.008","4.219","3.900","99.76K","4.61%"
"01/03/2023","3.988","4.393","4.394","3.894","116.84K","-3.76%"
"01/02/2023","4.144","4.430","4.430","4.074","4.01K","-6.46%"
"01/01/2023","4.430","4.430","4.430","4.430","","-1.01%"
"12/30/2022","4.475","4.558","4.615","4.378","62.28K","-1.84%"
"12/29/2022","4.559","4.767","4.790","4.422","78.44K","-3.19%"
"12/28/2022","4.709","5.183","5.183","4.588","1.72K","-10.85%"
"12/27/2022","5.282","5.283","5.367","5.081","41.15K","0.13%"
"12/26/2022","5.275","5.283","5.367","5.172","0.54K","2.93%"
"12/25/2022","5.125","5.125","5.125","5.125","","0.91%"
"12/23/2022","5.079","5.093","5.245","4.825","42.11K","1.60%"
"12/22/2022","4.999","5.465","5.653","4.975","66.76K","-6.25%"
"12/21/2022","5.332","5.389","5.609","5.265","89.44K","0.11%"
"12/20/2022","5.326","5.832","5.906","5.256","124.00K","-8.97%"
"12/19/2022","5.851","6.154","6.275","5.765","121.28K","-11.35%"
"12/16/2022","6.600","6.888","6.888","6.219","116.64K","-5.31%"
"12/15/2022","6.970","6.371","7.036","6.358","139.78K","8.40%"
"12/14/2022","6.430","6.951","6.961","6.337","139.04K","-7.28%"
"12/13/2022","6.935","6.534","7.105","6.499","168.11K","5.28%"
"12/12/2022","6.587","6.950","7.058","6.487","171.43K","5.48%"
"12/09/2022","6.245","5.930","6.391","5.794","160.03K","4.75%"
"12/08/2022","5.962","5.814","6.164","5.770","154.50K","4.18%"
"12/07/2022","5.723","5.388","5.850","5.383","172.96K","4.64%"
"12/06/2022","5.469","5.642","5.674","5.337","131.23K","-1.94%"
"12/05/2022","5.577","5.900","6.052","5.556","167.67K","-11.21%"
"12/02/2022","6.281","6.829","6.839","6.221","115.61K","-6.78%"
"12/01/2022","6.738","6.966","7.213","6.708","94.56K","-2.77%"
"11/30/2022","6.930","7.264","7.305","6.806","107.31K","-4.22%"
"11/29/2022","7.235","7.319","7.421","7.092","101.68K","7.79%"
"11/28/2022","6.712","6.870","6.980","6.500","3.65K","-4.44%"
"11/25/2022","7.024","7.332","7.400","6.800","35.51K","-2.12%"
"11/24/2022","7.176","7.285","7.400","7.093","3.30K","-1.81%"
"11/23/2022","7.308","6.900","7.604","6.887","59.05K","7.80%"
"11/22/2022","6.779","6.703","6.976","6.457","73.12K","0.04%"
"11/21/2022","6.776","6.333","6.837","6.145","107.82K","7.50%"
"11/18/2022","6.303","6.383","6.475","6.045","102.56K","-1.04%"
"11/17/2022","6.369","6.205","6.547","6.162","106.77K","2.73%"
"11/16/2022","6.200","6.138","6.250","5.727","112.92K","2.75%"
"11/15/2022","6.034","6.065","6.203","5.841","76.93K","1.70%"
"11/14/2022","5.933","6.119","6.416","5.890","110.91K","0.92%"
"11/11/2022","5.879","6.165","6.505","5.775","110.49K","-5.77%"
"11/10/2022","6.239","5.950","6.262","5.764","101.64K","6.38%"
"11/09/2022","5.865","6.190","6.350","5.715","134.65K","-4.45%"
"11/08/2022","6.138","6.687","6.823","6.062","146.54K","-11.61%"
"11/07/2022","6.944","6.980","7.221","6.566","171.26K","8.50%"
"11/04/2022","6.400","5.935","6.510","5.893","117.25K","7.11%"
